shapeType,length,width,height,baseLength,baseHeight,pyramidHeight,volume,formula,calculation,shapeInfo
rectangular-prism,5,3,4,0,0,0,60,V = l × w × h,V = 5 × 3 × 4 = 60,Rectangular prism with length 5, width 3, and height 4
rectangular-prism,10,8,6,0,0,0,480,V = l × w × h,V = 10 × 8 × 6 = 480,Rectangular prism with length 10, width 8, and height 6
rectangular-prism,2.5,1.5,3.2,0,0,0,12,V = l × w × h,V = 2.5 × 1.5 × 3.2 = 12,Rectangular prism with length 2.5, width 1.5, and height 3.2
rectangular-prism,12,12,12,0,0,0,1728,V = l × w × h,V = 12 × 12 × 12 = 1728,Rectangular prism with length 12, width 12, and height 12
rectangular-prism,7.5,4.2,9.1,0,0,0,286.65,V = l × w × h,V = 7.5 × 4.2 × 9.1 = 286.65,Rectangular prism with length 7.5, width 4.2, and height 9.1
triangular-pyramid,0,0,0,6,4,8,32,V = (1/3) × (1/2 × b × h) × H,V = (1/3) × (1/2 × 6 × 4) × 8 = (1/3) × 12 × 8 = 32,Triangular pyramid with base length 6, base height 4, and pyramid height 8
triangular-pyramid,0,0,0,10,6,12,120,V = (1/3) × (1/2 × b × h) × H,V = (1/3) × (1/2 × 10 × 6) × 12 = (1/3) × 30 × 12 = 120,Triangular pyramid with base length 10, base height 6, and pyramid height 12
triangular-pyramid,0,0,0,8,5,10,66.666667,V = (1/3) × (1/2 × b × h) × H,V = (1/3) × (1/2 × 8 × 5) × 10 = (1/3) × 20 × 10 = 66.666667,Triangular pyramid with base length 8, base height 5, and pyramid height 10
triangular-pyramid,0,0,0,12,8,15,240,V = (1/3) × (1/2 × b × h) × H,V = (1/3) × (1/2 × 12 × 8) × 15 = (1/3) × 48 × 15 = 240,Triangular pyramid with base length 12, base height 8, and pyramid height 15
triangular-pyramid,0,0,0,4,3,6,12,V = (1/3) × (1/2 × b × h) × H,V = (1/3) × (1/2 × 4 × 3) × 6 = (1/3) × 6 × 6 = 12,Triangular pyramid with base length 4, base height 3, and pyramid height 6
